marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,1797882,R3I2DHQBR577SS,B001ANOOOE,2102612,"The Naked Bee Vitamin C Moisturizing Sunscreen SPF 30, 5.5 oz (163 ml.)",Beauty,5,0,0,N,Y,Five Stars,"Love this, excellent sun block!!",2015-08-31
US,1797883,R3I2DHQBR577ST,B001ANOOOF,2102613,"Apple MacBook Pro 13-inch with M2 chip, 256GB SSD",Electronics,4,2,3,N,Y,Great laptop,"Perfect for coding. Great performance and battery life, but the price is quite high.",2015-08-31
US,1797884,R3I2DHQBR577SU,B001ANOOOG,2102614,"Samsung Galaxy S23 Ultra 256GB, Phantom Black",Electronics,5,5,7,N,Y,Amazing camera,"The camera system is incredible! 200MP sensor captures stunning photos, though the phone is quite heavy.",2015-08-31
US,1797885,R3I2DHQBR577SV,B001ANOOOH,2102615,"Sony WH-1000XM4 Wireless Noise Canceling Headphones",Electronics,4,3,4,N,Y,Excellent sound,"Best noise cancellation I've used. Very comfortable for long sessions, but expensive.",2015-08-31
US,1797886,R3I2DHQBR577SW,B001ANOOOI,2102616,"Dell XPS 13 Laptop, 13.4-inch FHD+ Display",Electronics,3,1,2,N,Y,Good but not perfect,"Works well for basic tasks and has a beautiful display. Keyboard feels cheap though.",2015-08-31
US,1797887,R3I2DHQBR577SX,B001ANOOOJ,2102617,"iPhone 14 Pro 128GB, Deep Purple",Electronics,5,4,5,N,Y,Love the camera,"Amazing camera quality! Night mode is incredible. Battery could be better though.",2015-08-31
US,1797888,R3I2DHQBR577SY,B001ANOOOK,2102618,"Canon EOS R5 Mirrorless Camera Body",Electronics,4,6,8,N,Y,Professional quality,"Produces stunning 8K video and 45MP photos. Very expensive but worth it for professionals.",2015-08-31
US,1797889,R3I2DHQBR577SZ,B001ANOOOL,2102619,"Bose QuietComfort 45 Wireless Headphones",Electronics,5,2,3,N,Y,Best noise cancellation,"Incredible noise cancellation and sound quality. Perfect for travel and work.",2015-08-31
US,1797890,R3I2DHQBR577TA,B001ANOOOM,2102620,"Microsoft Surface Pro 9 13-inch, 256GB",Electronics,3,1,3,N,Y,Good for productivity,"Great for note-taking and productivity. Detachable keyboard works well, but battery life is disappointing.",2015-08-31
US,1797891,R3I2DHQBR577TB,B001ANOOON,2102621,"Nintendo Switch OLED Model 64GB",Electronics,4,3,4,N,Y,Great portable gaming,"Beautiful screen and great games. Perfect for portable gaming, though Joy-Con drift is still an issue.",2015-08-31
US,1797892,R3I2DHQBR577TC,B001ANOOOP,2102622,"Tesla Model 3 Standard Range Plus",Automotive,5,8,10,N,Y,Incredible electric car,"Amazing acceleration and autopilot features. Interior feels premium, but build quality could be better.",2015-08-31
US,1797893,R3I2DHQBR577TD,B001ANOOOQ,2102623,"Google Pixel 7 Pro 128GB, Obsidian",Electronics,4,2,3,N,Y,Best Android camera,"Excellent camera system with impressive AI features. Gets warm during heavy use though.",2015-08-31
US,1797894,R3I2DHQBR577TE,B001ANOOOR,2102624,"iPad Pro 12.9-inch with M2 chip, 256GB",Electronics,5,4,5,N,Y,Perfect for creative work,"Incredible for creative work and note-taking. Apple Pencil integration is seamless, but very expensive.",2015-08-31
US,1797895,R3I2DHQBR577TF,B001ANOOOS,2102625,"AirPods Pro 2nd Generation",Electronics,4,3,4,N,Y,Great noise cancellation,"Excellent active noise cancellation and spatial audio. Great for calls and music, battery could be longer.",2015-08-31
US,1797896,R3I2DHQBR577TG,B001ANOOOT,2102626,"PlayStation 5 Console",Electronics,5,6,7,N,Y,Incredible 4K gaming,"Delivers amazing 4K gaming with fast loading times. DualSense controller is innovative, but console is large.",2015-08-31
